"ID","MonthlyIncome"
871,5959.15848317544
872,2176.0043038923
873,14173.3084658951
874,2261.74142740063
875,1901.02273741321
876,7073.10147317673
877,5596.23770339928
878,2043.01263322707
879,1901.41790450233
880,14822.9067732243
881,11106.2575263611
882,2509.16423859877
883,6149.86492128044
884,6032.50979047905
885,6545.52077591854
886,6018.33524574946
887,5699.0733619057
888,6219.62057735956
889,6049.28159208651
890,2237.77832334418
891,6035.10704735691
892,9428.03999127508
893,9634.40116341867
894,6038.70269858141
895,10992.5664804827
896,9981.73564285473
897,10004.9586522567
898,14100.6288195475
899,5933.38845641936
900,2477.54623130571
901,2477.54623130571
902,6632.71989456111
903,6382.49176631672
904,2741.67241041281
905,14736.7744826268
906,5932.59812224113
907,10706.2156863203
908,6127.36381235824
909,2150.18403761248
910,2281.31854605435
911,18202.7501946327
912,2564.74534994829
913,2543.3110690712
914,9993.38136440496
915,6251.23858465262
916,5719.71730860454
917,2301.68599888631
918,5934.06011737537
919,2088.41001816061
920,2961.86319972062
921,2238.84515138931
922,2075.69746856526
923,6201.11028675097
924,6378.77744186999
925,14825.1591025368
926,2291.22577860344
927,5972.26619985991
928,10114.055652564
929,1959.80433289811
930,2386.75146143863
931,6313.80293828273
932,9828.77168644666
933,9871.64024820083
934,2391.41394070826
935,2217.0157034231
936,2307.13881233417
937,10554.3185579573
938,10470.0434295833
939,6211.01751930006
940,2238.44998430019
941,3030.55202775461
942,9885.81479293042
943,10429.8223642307
944,6039.76952662654
945,2022.64518039511
946,6115.71809080801
947,2152.71286079186
948,1830.13181959049
949,2398.72391637949
950,5711.39074441193
951,2513.55022400151
952,5621.66280258998
953,6336.97570816095
954,2413.24338867446
955,6162.97263796491
956,9963.89701320215
957,11796.5907393543
958,1883.97444193887
959,10401.404841073
960,19155.0759306427
961,2032.15724585508
962,5619.13397941061
963,6417.31025774516
964,6322.12950247535
965,2162.89658720783
966,18324.4913108368
967,1743.32786803703
968,10239.2737467704
969,15268.690925764
970,2111.70146126105
971,5809.11851703586
972,6053.27241040013
973,2433.2156744173
974,2281.31854605435
975,5784.02015123579
976,2058.64917309091
977,6940.50496960062
978,1971.84522153745
979,9715.8709747465
980,18438.8540176713
981,1920.25492850155
982,10285.4614658821
983,2477.54623130571
984,2458.640773608
985,6221.0825724938
986,2489.19195285593
987,2238.44998430019
988,6074.31152418809
989,10089.352453853
990,2130.21175186965
991,6520.49084381696
992,2150.5792047016
993,6137.94270586333
994,6216.69658709107
995,5944.24384379135
996,6298.56156550801
997,2108.77747099256
998,14814.925136597
999,9904.72025062813
1000,1711.31469365485
1001,6764.64473718122
1002,6173.8280253369
1003,6212.03410782144
1004,6980.84470817541
1005,2239.63548556754
1006,6402.74054592644
1007,2214.48688024373
1008,5984.23865480076
1009,18182.7779088899
1010,6379.17260895911
1011,10528.1533641122
1012,6591.31332794119
1013,6113.97960180688
1014,6072.17786809784
1015,5909.75208575354
1016,2073.21888490963
1017,2407.11891427059
1018,9927.22135955034
1019,10084.176134272
1020,2129.81658478053
1021,6090.68815870643
1022,6369.66054349914
1023,5872.68126501261
1024,11024.8561487318
1025,14095.8979065793
1026,18033.4096037063
1027,6479.75593815304
1028,6007.08469128835
1029,6129.49746844849
1030,10847.9290882673
1031,6039.76952662654
1032,2407.11891427059
1033,9664.55717557748
1034,2281.31854605435
1035,6072.17786809784
1036,2032.82890681109
1037,5545.71423840851
1038,10213.8988871034
1039,9890.87243928917
1040,6019.84748040744
1041,1787.65842492544
1042,2498.98051218279
1043,9995.51502049521
1044,6481.6815340749
1045,2000.53923856202
1046,2281.31854605435
1047,6125.90181722399
1048,9861.85168887397
1049,2009.65613693288
1050,5958.41838852094
1051,11317.3998509966
1052,1988.22185605579
1053,6174.22319242602
1054,2327.50626516613
1055,2477.54623130571
1056,2456.11195042863
1057,6303.89570573364
1058,13921.8948363833
1059,6619.73085109887
1060,2366.38400860668
1061,6319.60067929597
1062,6197.11946843735
1063,6399.54006179106
1064,2173.08031362381
1065,6587.32250962758
1066,2261.74142740063
1067,3398.25396002263
1068,18476.3884391998
1069,5942.7818486571
1070,2217.41087051222
1071,2330.0350883455
1072,5968.67054863541
1073,1807.23554357916
1074,5856.37306419277
1075,6089.55289696281
1076,14616.5637952554
1077,18170.0653592945
1078,6048.54149743201
1079,6135.01871559484
1080,6447.51650942771
1081,2609.0759068367
1082,2423.03194800132
1083,2109.84429903769
1084,6395.54924347745
1085,9344.50495755549
1086,10165.6459455999
1087,6106.99635952628
1088,2533.12734265522
1089,2357.66227732494
1090,5888.66273244183
1091,5787.68423615878
1092,5984.30708849925
1093,9657.29743943
1094,6010.00868155684
1095,5940.25302547773
1096,6268.68204721608
1097,3222.39372760323
1098,2348.94054604321
1099,2331.17035008912
1100,5929.39763810575
1101,17807.0943399946
1102,6247.247766339
1103,6464.90973246744
1104,11553.8988411242
1105,2557.4856138008
1106,2493.18277116955
1107,2084.1427059801
1108,6455.79283409659
1109,5573.34142738795
1110,5717.18848542517
1111,6245.50927733787
1112,10301.4429333113
1113,9900.38450474914
1114,6776.29045873144
1115,10121.3656282352
1116,2274.8491440851
1117,6844.58411967631
1118,6289.04950004804
1119,10873.354187458
1120,2129.54009091364
1121,10339.6308216211
1122,15016.8821291631
1123,6177.88727734901
1124,14277.555880012
1125,1939.83204715527
1126,2281.31854605435
1127,2370.37482692029
1128,6064.52296486123
1129,14499.88032541
1130,2272.99198186174
1131,10040.9124054287
1132,14309.5006206957
1133,6434.3585532195
1134,2290.4354444252
1135,2479.40339352907
1136,2443.39940083328
1137,2973.90408835997
1138,6177.88727734901
1139,9955.63888270802
1140,13306.0481924374
1141,5650.75198670367
1142,6305.75286795701
1143,10869.7585362335
1144,5975.46668399529
1145,6718.85218515856
1146,5972.59293325054
1147,6042.69351689503
1148,2303.14799402055
1149,2301.68599888631
1150,6166.6367228879
1151,2183.26404003979
1152,6413.99110038755
1153,6650.60876373744
1154,2045.54145640644
1155,5942.90052187933
1156,14635.0056521655
1157,2433.2156744173
1158,6874.34496474601
1159,2260.27943226639
1160,6206.90802776421
1161,2306.07198428905
1162,10260.7080276474
1163,1975.90447354956
1164,10281.0754804794
1165,2266.86750745787
1166,1978.70979059582
1167,10060.9349306953
1168,5845.79417068767
1169,2336.22799644786
1170,1923.91901342454
